"MicrotypeID","microtype","geotype","Mode","cost_air","cost_ghg","cost_noise","cost_crash"
"A_1",1,"A","freight",0.510369593228604,0.0056120186344126,0.0792221932835101,0.162273443592383
"A_1",1,"A","hv",0.0880781120457534,0.00375430248983716,0.00298787884326135,0.304274487424606
"A_1",1,"A","bus",1.68392714196485,0.0123362929030828,0.0618985061937112,0.251526276396832
"A_2",2,"A","hv",0.0712762382869368,0.00384209640932845,0.00248425328443536,0.309760115522756
"A_2",2,"A","freight",0.409296795173524,0.00571816445121642,0.0659495699555221,0.165198998637397
"A_2",2,"A","bus",1.35557451312896,0.0126501528938967,0.0516178813831757,0.256060930685149
"A_3",3,"A","hv",0.0773885075911432,0.0038228760232769,0.00269982809614832,0.311305052290794
"A_3",3,"A","freight",0.529085385323712,0.00671654659397243,0.0569195526620329,0.166022933011928
"A_3",3,"A","bus",1.29687498277681,0.0116497262608516,0.0445487963439177,0.257338041348689
"A_4",4,"A","bus",0.770783270751119,0.0131054206527804,0.0520686395593643,0.26902113255318
"A_4",4,"A","hv",0.0413539460913939,0.00404177382269612,0.00235642214959155,0.325438234074843
"A_4",4,"A","freight",0.259393967210367,0.00623951995659321,0.0661745430602369,0.17356033812409
"A_5",5,"A","freight",0.32895207488439,0.00595623438587758,0.063896431819732,0.169742778974991
"A_5",5,"A","hv",0.0542064479215549,0.00395262391311849,0.00231405373515386,0.318280033524031
"A_5",5,"A","bus",1.04304319343944,0.0129480183154082,0.0501027212034093,0.263103858497485
"A_6",6,"A","freight",0.214503884756545,0.00612836103064222,0.0509407125989938,0.170537883102347
"A_6",6,"A","hv",0.0324016809105628,0.00396768898639211,0.00179573741369036,0.319770911485603
"A_6",6,"A","bus",0.613148615996773,0.0128620159140839,0.040156600377035,0.264336281844609
"B_1",1,"B","hv",0.033422878197518,0.0039401695020682,0.00209901557319923,0.318178198542639
"B_1",1,"B","freight",0.206885766750713,0.00588316602184481,0.0610128186006805,0.169688469087729
"B_1",1,"B","bus",0.654591130376829,0.0129156952045443,0.047894988499342,0.262238163438899
"B_2",2,"B","freight",0.205082423662385,0.00569680944904629,0.0567313347018076,0.165120623926237
"B_2",2,"B","hv",0.0339953676918604,0.00382438671365624,0.00202644913654848,0.309613157249502
"B_2",2,"B","bus",0.663068374110108,0.012529179613919,0.0444857237298344,0.254810028263505
"B_3",3,"B","freight",0.210095325208743,0.00679859332345281,0.0470817482354543,0.169350378948498
"B_3",3,"B","hv",0.0281927463984604,0.00389852604524117,0.00206436283251766,0.317544254986992
"B_3",3,"B","bus",0.487963837247531,0.0118887338745206,0.0369219691078173,0.261753828621001
"B_4",4,"B","freight",0.168720131059811,0.00626596578252398,0.0607823131143222,0.174202627571135
"B_4",4,"B","hv",0.0246843669670009,0.00404269447576539,0.00209589858739394,0.326642573416828
"B_4",4,"B","bus",0.477343945806084,0.0130521686314473,0.0478496028255271,0.269379332437811
"B_5",5,"B","hv",0.0358290644027431,0.00389198275601455,0.00199786816850461,0.314758781082435
"B_5",5,"B","bus",0.694082691193292,0.012704550796825,0.0456544537172649,0.259193487229746
"B_5",5,"B","freight",0.220251093556156,0.00585707327612389,0.0581875730964037,0.16786485038396
"B_6",6,"B","freight",0.212447623875293,0.00587868806942845,0.0458419332297106,0.163165058365278
"B_6",6,"B","hv",0.0330256803496535,0.00378103676854335,0.0016235998381831,0.305946329853021
"B_6",6,"B","bus",0.624713516659469,0.0120293443309336,0.0356199406561792,0.249096257896777
"C_1",1,"C","hv",0.02542874044541,0.00378702368721137,0.00146906920718111,0.30369304275168
"C_1",1,"C","freight",0.152451090799443,0.00565498196628956,0.0424585357792244,0.161963351773208
"C_1",1,"C","bus",0.471555062070523,0.012116063209402,0.0328381268895676,0.244179475024979
"C_2",2,"C","freight",0.18156472559618,0.0056708136863523,0.0418748989286455,0.162505859855111
"C_2",2,"C","hv",0.0324067706329519,0.00380241526920579,0.00145388134739947,0.304710284790122
"C_2",2,"C","bus",0.584058063036615,0.0122150957891232,0.0324421966092287,0.245942617639804
"C_3",3,"C","freight",0.170922975408903,0.00657425829443399,0.0282063925895412,0.162078088591665
"C_3",3,"C","hv",0.0247194230342936,0.00377000789243903,0.00123070447395012,0.303908182615923
"C_3",3,"C","bus",0.391952041257382,0.0107641623040845,0.0212587112123928,0.233743911270616
"C_4",4,"C","freight",0.185369710989579,0.00582475545245179,0.0413700330181456,0.16280471989613
"C_4",4,"C","hv",0.0330286148413145,0.00381299867507074,0.00144037501105198,0.305270669063603
"C_4",4,"C","bus",0.568770967616994,0.0120377405746077,0.0321054345009525,0.244611211527817
"C_5",5,"C","bus",0.458587276544621,0.0120872653485083,0.0284886965364595,0.243804417628163
"C_5",5,"C","hv",0.0251570796169802,0.00381786218668459,0.00127446434356828,0.305454851513906
"C_5",5,"C","freight",0.148479577149211,0.00574103071908671,0.0370542146072636,0.162902946733066
"C_6",6,"C","bus",0.105108714249093,0.00470287418528721,0.00254906190008214,0.190809207011595
"C_6",6,"C","hv",0.0112722597439685,0.00327109695963349,0.00016080038454404,0.323756408066348
"C_6",6,"C","freight",0.213339822992442,0.0119552445586348,0.00332613733441594,0.129703229238604
"D_1",1,"D","hv",0.0831813288967652,0.00379454526548757,0.00191685418029198,0.303693043608951
"D_1",1,"D","freight",0.406676437786621,0.00569841140420556,0.059871316699642,0.161963352230401
"D_1",1,"D","bus",1.35948333747551,0.0116373750546479,0.0456124365067894,0.234706368986227
"D_2",2,"D","bus",1.48205663947591,0.0124426495202143,0.0400955523734794,0.24895506816313
"D_2",2,"D","hv",0.087520019431439,0.00381077408331002,0.00175979072975298,0.303693043333125
"D_2",2,"D","freight",0.424986165551503,0.00568070731371833,0.050578146020752,0.1619633520833
"D_3",3,"D","freight",0.341246057983721,0.00654168368870459,0.0317641924515243,0.1619633518108
"D_3",3,"D","hv",0.0594542043385038,0.00377725358817993,0.0013462051809196,0.303693042822168
"D_3",3,"D","bus",0.900394644327961,0.0112111369131554,0.0243130285260486,0.242507126233452
"D_4",4,"D","bus",1.17634093223377,0.0123154298876201,0.0406032575310274,0.250068304687456
"D_4",4,"D","freight",0.350490816472082,0.00579123178323355,0.0512464199784347,0.161963351783593
"D_4",4,"D","hv",0.0705302414049351,0.0037941669244497,0.00177594718295218,0.303693042771154
"D_5",5,"D","freight",0.193344390380576,0.00572920864891055,0.0366265589471054,0.162375472046866
"D_5",5,"D","hv",0.0369114655473413,0.00381048606281726,0.00124873614164295,0.304465798183799
"D_5",5,"D","bus",0.63747539830648,0.0122506712917137,0.0284486035210832,0.246599393397492
"D_6",6,"D","freight",0.198252035186041,0.01191249612154,0.00265042765156997,0.129838942365852
"D_6",6,"D","bus",0.100412590571495,0.00471566301475819,0.00202795733758636,0.191595176718782
"D_6",6,"D","hv",0.0112360166356258,0.00328577191400656,0.000130423690654609,0.324095165974406
"E_1",1,"E","freight",0.0810166258100928,0.00561701725379166,0.0461843456239921,0.161963352631244
"E_1",1,"E","bus",0.233174443330414,0.012493480716105,0.03606744664691,0.251045630746668
"E_1",1,"E","hv",0.011501912182642,0.00378802927185089,0.00171646486936266,0.303693044360559
"E_2",2,"E","freight",0.0884469460946894,0.00567716576878889,0.0399195791793555,0.161963351839979
"E_2",2,"E","hv",0.0125988760084739,0.0038057434522795,0.00149393739002912,0.30369304287688
"E_2",2,"E","bus",0.255804217378192,0.012523599954962,0.0311265358339375,0.251045629520196
"E_3",3,"E","bus",0.333986815902412,0.0115053777368168,0.0251483521040695,0.251045629814178
"E_3",3,"E","hv",0.020036950915649,0.00375518129372284,0.00153753766736767,0.303693043232515
"E_3",3,"E","freight",0.145195564458017,0.00653927017926564,0.032247545642313,0.161963352029643
"E_4",4,"E","hv",0.0140226677623117,0.003812410937589,0.0014674526166702,0.303693043651909
"E_4",4,"E","bus",0.2700817727479,0.0123899542089137,0.0288735301182716,0.251045630160868
"E_4",4,"E","freight",0.0978903573334167,0.00586107460472832,0.0371386704295813,0.161963352253311
"E_5",5,"E","freight",0.172824905910335,0.00570846681472639,0.0342622953169736,0.161963351507111
"E_5",5,"E","bus",0.560618638563446,0.012480998508586,0.0268522173774371,0.251045628978831
"E_5",5,"E","hv",0.0308135529206682,0.00380269878150993,0.00125763181029306,0.30369304225273
"E_6",6,"E","bus",0.0860979450535797,0.00474273165805894,0.00171041640973902,0.192833434857707
"E_6",6,"E","hv",0.00977492969465573,0.00326792618294766,0.000110655479440493,0.322304586107373
