"cty","ZIP","Mode","TOS","Mode.VOMS","total_cap_exp","City","State","Service.Area.Sq.Miles","Sq.Miles","total_op_exp","max_trains","avg_speed","avg_trip_length","pax_per_hr","veh_revenue_hours","veh_revenue_miles","Train.Miles","Train.Hours","Unlinked.Passenger.Trips","Passenger.Miles","Directional.Route.Miles","track_miles_rev","track_miles_nonrev","fixed_guideway_miles","busway_exclusive_miles","control_access_miles","row_total_miles","cbsa","cbsaname","ctyname","spatial_id"
"01001","36067","DR","DO",10,108726,"Prattville","AL",139,154,869315,0,13.6681,0,2.1037,19970,272951,0,0,42011,0,0,NA,NA,NA,NA,NA,NA,33860,"Montgomery, AL","Autauga County, AL",33860
"01003","36567","DR","DO",39,784020,"Robertsdale","AL",2027,55,3038488,0,18.3896,10.2678,8.1184,39259,721956,0,0,318721,3272549,0,NA,NA,NA,NA,NA,NA,19300,"Daphne-Fairhope-Foley, AL","Baldwin County, AL",19300
"01003","36502","DR","DO",1,94520,"Atmore","AL",0,0,94250,0,33.2927,0,1.029,967,32194,0,0,995,0,0,NA,NA,NA,NA,NA,NA,19300,"Daphne-Fairhope-Foley, AL","Baldwin County, AL",19300
"01003","36567","DR","DO",39,781407,"Robertsdale","AL",2027,55,3038488,0,18.3896,10.2678,8.1184,39259,721956,0,0,318721,3272549,0,NA,NA,NA,NA,NA,NA,19300,"Daphne-Fairhope-Foley, AL","Baldwin County, AL",19300
"01009","35976","DR","DO",4,55872,"Guntersville","AL",NA,NA,205104,0,19.4288,0,4.0033,4184,81290,0,0,16750,0,0,NA,NA,NA,NA,NA,NA,13820,"Birmingham-Hoover, AL","Blount County, AL",13820
"01009","35121","DR","DO",8,105403,"Oneonta","AL",NA,NA,354102,0,13.118,0,3.0827,9828,128924,0,0,30297,0,0,NA,NA,NA,NA,NA,NA,13820,"Birmingham-Hoover, AL","Blount County, AL",13820
"01009","35976","DR","DO",5,55872,"Guntersville","AL",NA,NA,205104,0,19.4288,0,4.0033,4184,81290,0,0,16750,0,0,NA,NA,NA,NA,NA,NA,13820,"Birmingham-Hoover, AL","Blount County, AL",13820
"01011","36081","DR","DO",6,55980,"Troy","AL",NA,NA,567622,0,23.8372,0,2.9131,8790,209529,0,0,25606,0,0,NA,NA,NA,NA,NA,NA,99999,"","Bullock County, AL",1011
"01015","36202","MB","PT",4,37844,"Anniston","AL",4992,87,723413,0,15.6053,0,11.4318,13384,208861,0,0,153003,0,0,NA,NA,NA,NA,NA,NA,11500,"Anniston-Oxford-Jacksonville, AL","Calhoun County, AL",11500
"01015","36202","DR","PT",25,338837,"Anniston","AL",4992,87,1427404,0,10.0699,0,2.7328,43024,433247,0,0,117577,0,0,NA,NA,NA,NA,NA,NA,11500,"Anniston-Oxford-Jacksonville, AL","Calhoun County, AL",11500
"01015","36202","MB","PT",4,146492,"Anniston","AL",4992,87,723413,0,15.6053,0,11.4318,13384,208861,0,0,153003,0,0,NA,NA,NA,NA,NA,NA,11500,"Anniston-Oxford-Jacksonville, AL","Calhoun County, AL",11500
"01015","36202","DR","PT",25,349833,"Anniston","AL",4992,87,1427404,0,10.0699,0,2.7328,43024,433247,0,0,117577,0,0,NA,NA,NA,NA,NA,NA,11500,"Anniston-Oxford-Jacksonville, AL","Calhoun County, AL",11500
"01019","35901","DR","DO",5,703,"Gadsden","AL",NA,NA,471408,0,24.3531,0,1.9053,5185,126271,0,0,9879,0,0,NA,NA,NA,NA,NA,NA,99999,"","Cherokee County, AL",1019
"01019","35901","DR","DO",6,80808,"Gadsden","AL",NA,NA,471408,0,24.3531,0,1.9053,5185,126271,0,0,9879,0,0,NA,NA,NA,NA,NA,NA,99999,"","Cherokee County, AL",1019
"01019","35967","DR","DO",7,106650,"Fort Payne","AL",NA,NA,253816,0,18.2758,0,2.7969,7921,144763,0,0,22154,0,0,NA,NA,NA,NA,NA,NA,99999,"","Cherokee County, AL",1019
"01033","35661","DR","DO",39,135835,"Muscle Shoals","AL",3365,62,1069654,0,13.58,10.23,2.9882,31289,424905,0,0,93498,956485,0,NA,NA,NA,NA,NA,NA,22520,"Florence-Muscle Shoals, AL","Colbert County, AL",22520
"01037","35010","DR","DO",6,55854,"Alexander City","AL",NA,NA,194376,0,12.0607,0,3.1347,3869,46663,0,0,12128,0,0,NA,NA,NA,NA,NA,NA,45180,"Talladega-Sylacauga, AL","Coosa County, AL",45180
"01037","35010","DR","DO",5,55854,"Alexander City","AL",NA,NA,194376,0,12.0607,0,3.1347,3869,46663,0,0,12128,0,0,NA,NA,NA,NA,NA,NA,45180,"Talladega-Sylacauga, AL","Coosa County, AL",45180
"01039","36420","DR","DO",4,23428,"Andalusia","AL",NA,NA,162348,0,25.0779,0,4.7864,2374,59535,0,0,11363,0,0,NA,NA,NA,NA,NA,NA,99999,"","Covington County, AL",1039
"01039","36420","DR","DO",4,54122,"Andalusia","AL",NA,NA,162348,0,25.0779,0,4.7864,2374,59535,0,0,11363,0,0,NA,NA,NA,NA,NA,NA,99999,"","Covington County, AL",1039
"01043","35056","DR","DO",30,22830,"Cullman","AL",NA,NA,1577506,0,11.2806,0,1.8731,39829,449297,0,0,74604,0,0,NA,NA,NA,NA,NA,NA,18980,"Cullman, AL","Cullman County, AL",18980
"01043","35056","DR","DO",28,37756,"Cullman","AL",NA,NA,1577506,0,11.2806,0,1.8731,39829,449297,0,0,74604,0,0,NA,NA,NA,NA,NA,NA,18980,"Cullman, AL","Cullman County, AL",18980
"01055","35902","DR","DO",8,207966,"Gadsden","AL",37,72,409846,0,14.4877,0,2.439,12804,185500,0,0,31229,0,0,NA,NA,NA,NA,NA,NA,23460,"Gadsden, AL","Etowah County, AL",23460
"01055","35902","MB","DO",5,27748,"Gadsden","AL",37,72,425373,0,12.5,0,5.504,13136,164200,0,0,72300,0,0,NA,NA,NA,NA,NA,NA,23460,"Gadsden, AL","Etowah County, AL",23460
"01055","35902","DR","DO",8,42784,"Gadsden","AL",37,72,409846,0,14.4877,0,2.439,12804,185500,0,0,31229,0,0,NA,NA,NA,NA,NA,NA,23460,"Gadsden, AL","Etowah County, AL",23460
"01055","35902","MB","DO",5,216122,"Gadsden","AL",37,72,425373,0,12.5,0,5.504,13136,164200,0,0,72300,0,0,NA,NA,NA,NA,NA,NA,23460,"Gadsden, AL","Etowah County, AL",23460
"01069","36302","DR","DO",12,115128,"Dothan","AL",2972,56,897282,0,12.6245,0,3.2596,21378,269887,0,0,69684,0,0,NA,NA,NA,NA,NA,NA,20020,"Dothan, AL","Houston County, AL",20020
"01071","35769","DR","DO",9,311,"Scottsboro","AL",NA,NA,440196,0,13.525,0,2.7589,9987,135074,0,0,27553,0,0,NA,NA,NA,NA,NA,NA,42460,"Scottsboro, AL","Jackson County, AL",42460
"01071","35769","DR","DO",7,56048,"Scottsboro","AL",NA,NA,440196,0,13.525,0,2.7589,9987,135074,0,0,27553,0,0,NA,NA,NA,NA,NA,NA,42460,"Scottsboro, AL","Jackson County, AL",42460
"01073","35203","DR","DO",30,2083551,"Birmingham","AL",152,530,5152093,0,16.3906,16.2547,1.9545,58296,955505,0,0,113940,1852055,0,NA,NA,NA,NA,NA,NA,13820,"Birmingham-Hoover, AL","Jefferson County, AL",13820
"01073","35203","MB","DO",70,6884117,"Birmingham","AL",152,530,27262791,0,13.0634,5.6332,14.9615,215824,2819399,0,0,3229051,18189863,626.7,NA,NA,0,0,0,0,13820,"Birmingham-Hoover, AL","Jefferson County, AL",13820
"01073","35203","DR","DO",29,572868,"Birmingham","AL",152,530,5152093,0,16.3906,16.2547,1.9545,58296,955505,0,0,113940,1852055,0,NA,NA,NA,NA,NA,NA,13820,"Birmingham-Hoover, AL","Jefferson County, AL",13820
"01073","35203","MB","DO",70,15652763,"Birmingham","AL",152,530,27262791,0,13.0634,5.6332,14.9615,215824,2819399,0,0,3229051,18189863,626.7,NA,NA,0,0,0,0,13820,"Birmingham-Hoover, AL","Jefferson County, AL",13820
"01073","35202","DR","PT",7,109243,"Birmingham","AL",NA,NA,79692,0,11.4663,0,3.0243,1645,18862,0,0,4975,0,0,NA,NA,NA,NA,NA,NA,13820,"Birmingham-Hoover, AL","Jefferson County, AL",13820
"01089","35801","MB","DO",13,46176,"Huntsville","AL",66,210,2272127,0,15.0748,5.3733,17.0292,37771,569392,0,0,643211,3456177,159.7,NA,NA,0,0,0,0,26620,"Huntsville, AL","Madison County, AL",26620
"01089","35801","DR","DO",19,170202,"Huntsville","AL",66,210,1895346,0,15.4756,6.0103,3.2655,30125,466203,0,0,98373,591247,0,NA,NA,NA,NA,NA,NA,26620,"Huntsville, AL","Madison County, AL",26620
"01089","35801","DR","DO",19,181045,"Huntsville","AL",66,210,1895346,0,15.4756,6.0103,3.2655,30125,466203,0,0,98373,591247,0,NA,NA,NA,NA,NA,NA,26620,"Huntsville, AL","Madison County, AL",26620
"01089","35801","MB","DO",13,834007,"Huntsville","AL",66,210,2272127,0,15.0748,5.3733,17.0292,37771,569392,0,0,643211,3456177,159.7,NA,NA,0,0,0,0,26620,"Huntsville, AL","Madison County, AL",26620
"01089","35801","DR","DO",9,110238,"Huntsville","AL",NA,NA,313220,0,37.0067,0,3.5386,5106,188956,0,0,18068,0,0,NA,NA,NA,NA,NA,NA,26620,"Huntsville, AL","Madison County, AL",26620
"01089","35801","DR","DO",10,147994,"Huntsville","AL",NA,NA,313220,0,37.0067,0,3.5386,5106,188956,0,0,18068,0,0,NA,NA,NA,NA,NA,NA,26620,"Huntsville, AL","Madison County, AL",26620
